location,price,area,bedroom
3 BHK Residential Apartment in Noida Extension,"₹ 59 Lac₹ 4,479/sq.ft.","1,317 sq.ft. (122 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Shivaji Park,"₹ 1.6 Cr₹ 13,071/sq.ft.","1,224 sq.ft. (114 sq.m.) Super built-up Area",3 BHK3 Baths
7 Bedroom Independent House in Sector-23 Gurgaon,"₹ 4.4 Cr₹ 9,739/sq.ft.","4,518 sq.ft. (420 sq.m.) Plot Area",7 BHK7 Baths
3 BHK Residential Apartment in Sector-74 Noida,"₹ 90 Lac₹ 5,806/sq.ft.","1,550 sq.ft. (144 sq.m.) Super built-up Area",3 BHK2 Baths
3 BHK Residential Apartment in Sector-74 Noida,"₹ 90 Lac₹ 5,806/sq.ft.","1,550 sq.ft. (144 sq.m.) Super built-up Area",3 BHK2 Baths
3 BHK Independent Builder Floor in Sector-82 Gurgaon,"₹ 1.2 Cr₹ 3,704/sq.ft.","3,240 sq.ft. (301 sq.m.) Carpet Area",3 BHK3 Baths
2 BHK Independent Builder Floor in Sector-82 Gurgaon,"₹ 55 Lac₹ 3,395/sq.ft.","1,620 sq.ft. (151 sq.m.) Carpet Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector-67 Gurgaon,"₹ 1.9 Cr₹ 7,138/sq.ft.","2,662 sq.ft. (247 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in A3 Block Paschim Vihar,"₹ 3 Cr₹ 16,667/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Paschim Vihar,"₹ 1.65 Cr₹ 12,222/sq.ft.","1,350 sq.ft. (125 sq.m.) Built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Paschim Vihar,"₹ 2.1 Cr₹ 11,667/sq.ft.","1,800 sq.ft. (167 sq.m.) Built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Paschim Vihar,"₹ 1 Cr₹ 7,692/sq.ft.","1,300 sq.ft. (121 sq.m.) Built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector-78 Noida,"₹ 1.82 Cr₹ 7,280/sq.ft.","2,500 sq.ft. (232 sq.m.) Super built-up Area",3 BHK4 Baths
Residential land / Plot in Sector-99 Noida,"₹ 2.25 Cr₹ 6,968/sq.ft.","3,229 sq.ft. (300 sq.m.) Plot Area",
3 BHK Independent Builder Floor in Chattarpur,"₹ 80 Lac₹ 5,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Built-up Area",3 BHK3 Baths
5 Bedroom Farm house in Chattarpur,"₹ 8.25 Cr₹ 7,639/sq.ft.","10,800 sq.ft. (1003 sq.m.) Plot Area",5 BHK7 Baths
1 BHK Independent Builder Floor in sec 49,"₹ 17 Lac₹ 3,090/sq.ft.",550 sq.ft. (51 sq.m.) Super built-up Area,1 BHK2 Baths
3 BHK Residential Apartment in Sector 82 Faridabad,"₹ 29 Lac₹ 4,005/sq.ft.",724 sq.ft. (67 sq.m.) Super built-up Area,3 BHK2 Baths
2 BHK Residential Apartment in Vaibhav Khand,"₹ 68.5 Lac₹ 5,920/sq.ft.","1,157 sq.ft. (107 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 6.5 Cr₹ 14,460/sq.ft.","4,495 sq.ft. (418 sq.m.) Super built-up Area",4 BHK6 Baths
4 BHK Residential Apartment in Sector-109 Gurgaon,"₹ 2.1 Cr₹ 6,666/sq.ft.","3,150 sq.ft. (293 sq.m.) Carpet Area",4 BHK5 Baths
3 Bedroom Independent House in Sector ZETA Gr Noida,"₹ 86 Lac₹ 8,848/sq.ft.",972 sq.ft. (90 sq.m.) Plot Area,3 BHK4 Baths
3 BHK Independent Builder Floor in South City 2,"₹ 1.1 Cr₹ 6,790/sq.ft.","1,620 sq.ft. (151 sq.m.) Super built-up Area",3 BHK2 Baths
3 BHK Residential Apartment in Sector-77 Gurgaon,"₹ 1.1 Cr₹ 5,432/sq.ft.","2,025 sq.ft. (188 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-65 Gurgaon,"₹ 3.09 Cr₹ 10,362/sq.ft.","2,982 sq.ft. (277 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Bhopura,"₹ 38.5 Lac₹ 2,820/sq.ft.","1,365 sq.ft. (127 sq.m.) Built-up Area",3 BHK2 Baths
2 BHK Independent Builder Floor in Rajpur Khurd Extension,"₹ 42 Lac₹ 5,185/sq.ft.",810 sq.ft. (75 sq.m.) Super built-up Area,2 BHK1 Bath
2 BHK Independent Builder Floor in Dundahera,"₹ 24 Lac₹ 3,000/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,2 BHK2 Baths
5 Bedroom Independent House in Jaypee Greens,"₹ 6.6 Cr₹ 14,667/sq.ft.","4,500 sq.ft. (418 sq.m.) Plot Area",5 BHK5 Baths
3 BHK Independent Builder Floor in Sector-45 Gurgaon,"₹ 1.14 Cr₹ 7,600/sq.ft.","1,500 sq.ft. (139 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Sector-45 Gurgaon,"₹ 1.14 Cr₹ 7,600/sq.ft.","1,500 sq.ft. (139 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Sector 84 Faridabad,"₹ 42 Lac₹ 3,818/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Independent Builder Floor in Greater Kailash I,"₹ 5 Cr₹ 18,518/sq.ft.","2,700 sq.ft. (251 sq.m.) Carpet Area",4 BHK4 Baths
5 Bedroom Independent House in Sector-5 Rohini,"₹ 1.7 Cr₹ 30,372/sq.ft.",559 sq.ft. (52 sq.m.) Plot Area,5 BHK2 Baths
Residential land / Plot in Sector-3 Gr Noida,"₹ 1 Cr₹ 4,645/sq.ft.","2,152 sq.ft. (200 sq.m.) Plot Area",
3 BHK Independent Builder Floor in Ardee City,"₹ 1.35 Cr₹ 6,250/sq.ft.","2,160 sq.ft. (201 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Sector-48 Gurgaon,"₹ 1.1 Cr₹ 7,560/sq.ft.","1,455 sq.ft. (135 sq.m.) Carpet Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Greenfield Colony,"₹ 1.05 Cr₹ 2,701/sq.ft.","3,888 sq.ft. (361 sq.m.) Carpet Area",4 BHK4 Baths
2 BHK Independent Builder Floor in Panchsheel Enclave,"₹ 2.25 Cr₹ 20,000/sq.ft.","1,125 sq.ft. (105 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector 89 Faridabad,"₹ 50 Lac₹ 3,172/sq.ft.","1,576 sq.ft. (146 sq.m.) Carpet Area",3 BHK2 Baths
3 BHK Residential Apartment in Sector-108 Gurgaon,"₹ 2.4 Cr₹ 9,518/sq.ft.","2,343 sq.ft. (218 sq.m.) Super built-up Area",3 BHK5 Baths
2 BHK Independent Builder Floor in Sector 88 Faridabad,"₹ 48 Lac₹ 4,800/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector-66 Gurgaon,"₹ 1.65 Cr₹ 8,540/sq.ft.","1,815 sq.ft. (169 sq.m.) Super built-up Area",3 BHK4 Baths
4 BHK Residential Apartment in Sector-66 Gurgaon,"₹ 1.7 Cr₹ 8,449/sq.ft.","2,012 sq.ft. (187 sq.m.) Super built-up Area",4 BHK4 Baths
6 Bedroom Independent House in Malibu Town,"₹ 5.25 Cr₹ 16,204/sq.ft.","3,240 sq.ft. (301 sq.m.) Plot Area",6 BHK6 Baths
3 BHK Residential Apartment in Jaypee Greens,"₹ 1.15 Cr₹ 5,226/sq.ft.","2,200 sq.ft. (204 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Independent Builder Floor in Hauz Khas,"₹ 4.25 Cr₹ 18,889/sq.ft.","2,250 sq.ft. (209 sq.m.) Built-up Area",3 BHK3 Baths
Residential land / Plot in Delta -I Gr Noida,"₹ 1.15 Cr₹ 4,645/sq.ft.","2,368 sq.ft. (220 sq.m.) Plot Area",
3 BHK Independent Builder Floor in Sector-5 Vasundhara,"₹ 77.99 Lac₹ 4,726/sq.ft.","1,650 sq.ft. (153 sq.m.) Built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-107 Noida,"₹ 2.01 Cr₹ 6,813/sq.ft.","2,950 sq.ft. (274 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Independent Builder Floor in Sector-55 Gurgaon,"₹ 1.2 Cr₹ 7,207/sq.ft.","1,665 sq.ft. (155 sq.m.) Carpet Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Indirapuram,"₹ 51.62 Lac₹ 3,970/sq.ft.","1,300 sq.ft. (121 sq.m.) Built-up Area",3 BHK2 Baths
2 BHK Residential Apartment in Mohan Nagar,"₹ 37 Lac₹ 4,588/sq.ft.",850 sq.ft. (79 sq.m.) Super built-up Area,2 BHK2 Baths
3 BHK Independent Builder Floor in Sector-55 Gurgaon,"₹ 1.25 Cr₹ 8,620/sq.ft.","1,450 sq.ft. (135 sq.m.) Carpet Area",3 BHK3 Baths
3 BHK Residential Apartment in Indirapuram,"₹ 1.18 Cr₹ 6,555/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Independent Builder Floor in Shakti Khand 2,"₹ 44.91 Lac₹ 3,742/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Independent Builder Floor in Shakti Khand 2,"₹ 44.91 Lac₹ 3,742/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Independent Builder Floor in Gyan Khand 2,"₹ 43.91 Lac₹ 3,991/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Independent Builder Floor in Shakti Khand 4,"₹ 69.91 Lac₹ 5,799/sq.ft.","1,205 sq.ft. (112 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Shakti Khand 3,"₹ 51.79 Lac₹ 5,346/sq.ft.",968 sq.ft. (90 sq.m.) Super built-up Area,3 BHK2 Baths
3 BHK Independent Builder Floor in Shakti Khand 3,"₹ 55.93 Lac₹ 5,773/sq.ft.",968 sq.ft. (90 sq.m.) Super built-up Area,3 BHK2 Baths
3 BHK Residential Apartment in Sector-86 Gurgaon,"₹ 1.15 Cr₹ 6,229/sq.ft.","1,846 sq.ft. (172 sq.m.) Super built-up Area",3 BHK3 Baths
5 Bedroom Independent House in Sector-66 Gurgaon,"₹ 4.87 Cr₹ 12,853/sq.ft.","3,789 sq.ft. (352 sq.m.) Built-up Area",5 BHK5 Baths
2 BHK Independent Builder Floor in Chattarpur Extension,"₹ 27 Lac₹ 4,285/sq.ft.",630 sq.ft. (59 sq.m.) Carpet Area,2 BHK2 Baths
2 BHK Independent Builder Floor in Sector-8 Dwarka,"₹ 49.9 Lac₹ 7,128/sq.ft.",700 sq.ft. (65 sq.m.) Super built-up Area,2 BHK2 Baths
2 BHK Independent Builder Floor in Sector-8 Dwarka,"₹ 55 Lac₹ 7,857/sq.ft.",700 sq.ft. (65 sq.m.) Super built-up Area,2 BHK2 Baths
3 BHK Independent Builder Floor in Safdarjung Enclave,"₹ 4.55 Cr₹ 19,444/sq.ft.","2,340 sq.ft. (217 sq.m.) Super built-up Area",3 BHK4 Baths
9 Bedroom Independent House in Vasant Vihar,"₹ 42 Cr₹ 77,778/sq.ft.","5,400 sq.ft. (502 sq.m.) Plot Area",9 BHK9 Baths
1 BHK Independent Builder Floor in Chattarpur,"₹ 22 Lac₹ 4,000/sq.ft.",550 sq.ft. (51 sq.m.) Super built-up Area,1 BHK1 Bath
2 BHK Independent Builder Floor in Uttam Nagar,"₹ 22.5 Lac₹ 4,326/sq.ft.",520 sq.ft. (48 sq.m.) Built-up Area,2 BHK1 Bath
4 BHK Independent Builder Floor in Sector-57 Gurgaon,"₹ 1.75 Cr₹ 10,416/sq.ft.","1,680 sq.ft. (156 sq.m.) Carpet Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Sushant Lok Phase - 3,"₹ 1.75 Cr₹ 10,802/sq.ft.","1,620 sq.ft. (151 sq.m.) Built-up Area",4 BHK4 Baths
2 BHK Independent Builder Floor in Chattarpur,"₹ 32 Lac₹ 4,740/sq.ft.",675 sq.ft. (63 sq.m.) Carpet Area,2 BHK2 Baths
2 BHK Residential Apartment in Crossing Republik,"₹ 35.5 Lac₹ 3,086/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Crossing Republik,"₹ 29.99 Lac₹ 2,999/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Crossing Republik,"₹ 40 Lac₹ 3,088/sq.ft.","1,295 sq.ft. (120 sq.m.) Super built-up Area",2 BHK2 Baths
Residential land / Plot in Sector-91 Gurgaon,"₹ 2.5 Cr₹ 6,759/sq.ft.","3,699 sq.ft. (344 sq.m.) Plot Area",
3 BHK Residential Apartment in Sector-10 Dwarka,"₹ 1.82 Cr₹ 9,837/sq.ft.","1,850 sq.ft. (172 sq.m.) Super built-up Area",3 BHK3 Baths
5 Bedroom Independent House in Sector-111 Gurgaon,"₹ 6.25 Cr₹ 156,250/sq.ft.",400 sq.ft. (37 sq.m.) Plot Area,5 BHK6 Baths
3 BHK Residential Apartment in Sector-56 Gurgaon,"₹ 1.52 Cr₹ 7,069/sq.ft.","2,150 sq.ft. (200 sq.m.) Super built-up Area",3 BHK4 Baths
Residential land / Plot in Sohna,₹ 93 Lac₹ 344/sq.ft.,"27,000 sq.ft. (2508 sq.m.) Plot Area",
3 BHK Residential Apartment in Sector-110 A Gurgaon,"₹ 1.05 Cr₹ 6,501/sq.ft.","1,615 sq.ft. (150 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-110 A Gurgaon,"₹ 1.05 Cr₹ 6,501/sq.ft.","1,615 sq.ft. (150 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Chattarpur,"₹ 48 Lac₹ 2,133/sq.ft.","2,250 sq.ft. (209 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Greater Kailash I,"₹ 4.75 Cr₹ 17,592/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Ashoka Enclave,"₹ 98 Lac₹ 4,900/sq.ft.","2,000 sq.ft. (186 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector 88 Faridabad,"₹ 59 Lac₹ 3,553/sq.ft.","1,661 sq.ft. (154 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector 2 Faridabad,"₹ 1.1 Cr₹ 4,782/sq.ft.","2,300 sq.ft. (214 sq.m.) Carpet Area",4 BHK4 Baths
1 BHK Independent Builder Floor in Mahipalpur Extension,"₹ 18 Lac₹ 4,000/sq.ft.",450 sq.ft. (42 sq.m.) Super built-up Area,1 BHK1 Bath
3 BHK Residential Apartment in Sarita Vihar,"₹ 1.65 Cr₹ 10,312/sq.ft.","1,600 sq.ft. (149 sq.m.) Super built-up Area",3 BHK2 Baths
4 BHK Residential Apartment in Sector-86 Gurgaon,"₹ 2.1 Cr₹ 6,862/sq.ft.","3,060 sq.ft. (284 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Residential Apartment in East of Kailash,"₹ 3.75 Cr₹ 16,667/sq.ft.","2,250 sq.ft. (209 sq.m.) Carpet Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Sector-46 Gurgaon,"₹ 1.79 Cr₹ 5,815/sq.ft.","3,078 sq.ft. (286 sq.m.) Super built-up Area",4 BHK4 Baths
5 BHK Residential Apartment in Sector-54 Gurgaon,"₹ 4.75 Cr₹ 11,363/sq.ft.","4,180 sq.ft. (388 sq.m.) Super built-up Area",5 BHK7 Baths
3 BHK Residential Apartment in Sector 80 Faridabad,"₹ 58 Lac₹ 3,670/sq.ft.","1,580 sq.ft. (147 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-67 Gurgaon,"₹ 2.65 Cr₹ 8,037/sq.ft.","3,297 sq.ft. (306 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Kalkaji,"₹ 2.9 Cr₹ 16,112/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Green Park Extension,"₹ 5.5 Cr₹ 18,519/sq.ft.","2,970 sq.ft. (276 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Green Park,"₹ 4.85 Cr₹ 17,328/sq.ft.","2,799 sq.ft. (260 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Residential Apartment in Vasant Vihar,"₹ 7.8 Cr₹ 20,155/sq.ft.","3,870 sq.ft. (360 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Residential Apartment in Green Park Main,"₹ 6.3 Cr₹ 19,718/sq.ft.","3,195 sq.ft. (297 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Greater Kailash I,"₹ 3.03 Cr₹ 1,681/sq.ft.","18,000 sq.ft. (1672 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Safdarjung Enclave,"₹ 3.8 Cr₹ 21,006/sq.ft.","1,809 sq.ft. (168 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in C R Park,"₹ 1.9 Cr₹ 16,889/sq.ft.","1,125 sq.ft. (105 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Vasant Vihar,"₹ 9 Cr₹ 23,256/sq.ft.","3,870 sq.ft. (360 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Vasant Vihar,"₹ 6 Cr₹ 26,666/sq.ft.","2,250 sq.ft. (209 sq.m.) Carpet Area",4 BHK4 Baths
4 BHK Residential Apartment in Sector-104 Gurgaon,"₹ 1.1 Cr₹ 4,743/sq.ft.","2,324 sq.ft. (216 sq.m.) Carpet Area",4 BHK5 Baths
4 BHK Independent Builder Floor in Greater Kailash I,"₹ 5.15 Cr₹ 19,074/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Greater Kailash I,"₹ 5.15 Cr₹ 19,074/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Greater Kailash I,"₹ 3.65 Cr₹ 20,278/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Shanti Kunj,"₹ 2.5 Cr₹ 2,315/sq.ft.","10,800 sq.ft. (1003 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Greater Kailash I,"₹ 3 Cr₹ 16,026/sq.ft.","1,872 sq.ft. (174 sq.m.) Built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in East of Kailash,"₹ 2.15 Cr₹ 19,111/sq.ft.","1,125 sq.ft. (105 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Greater Kailash I,"₹ 9 Cr₹ 17,778/sq.ft.","4,500 sq.ft. (418 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Greater Kailash I,"₹ 3.72 Cr₹ 20,666/sq.ft.","1,800 sq.ft. (167 sq.m.) Built-up Area",3 BHK3 Baths
3 BHK Independent Builder Floor in Green Park,"₹ 3.5 Cr₹ 19,444/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
Residential land / Plot in Sector-92 Noida,"₹ 4.5 Cr₹ 9,290/sq.ft.","4,843 sq.ft. (450 sq.m.) Plot Area",
4 BHK Independent Builder Floor in Sector-63 Gurgaon,"₹ 2.7 Cr₹ 9,818/sq.ft.","2,750 sq.ft. (255 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Independent Builder Floor in Sector-63 Gurgaon,"₹ 1.73  - 1.97 Cr₹ 9,610/sq.ft.","1,800-2,050 sq.ft. (167-190 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Residential Apartment in Sector-86 Gurgaon,"₹ 3.21 Cr₹ 10,488/sq.ft.","3,060 sq.ft. (284 sq.m.) Super built-up Area",4 BHK5 Baths
2 BHK Residential Apartment in Sector-86 Gurgaon,"₹ 1.05 Cr₹ 7,094/sq.ft.","1,480 sq.ft. (138 sq.m.) Super built-up Area",2 BHK2 Baths
3 BHK Residential Apartment in Sector-86 Gurgaon,"₹ 1.36  - 1.51 Cr₹ 6,892/sq.ft.","1,895-2,285 sq.ft. (176-212 sq.m.) Super built-up Area",3 BHK4 Baths
4 BHK Residential Apartment in Sector-106 Gurgaon,"₹ 1.5 Cr₹ 6,366/sq.ft.","2,355 sq.ft. (219 sq.m.) Super built-up Area",4 BHK6 Baths
3 BHK Residential Apartment in Sector-106 Gurgaon,"₹ 1.06  - 1.12 Cr₹ 6,366/sq.ft.","1,665-1,760 sq.ft. (155-164 sq.m.) Super built-up Area",3 BHK
2 BHK Residential Apartment in Sector-106 Gurgaon,"₹ 89 Lac₹ 6,426/sq.ft.","1,385 sq.ft. (129 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Independent Builder Floor in Sector-63A Gurgaon,"₹ 2.63 Cr₹ 22,579/sq.ft.","1,164 sq.ft. (108 sq.m.) Carpet Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Sector-63A Gurgaon,"₹ 1.95 Cr₹ 17,746/sq.ft.","1,098 sq.ft. (102 sq.m.) Carpet Area",3 BHK3 Baths
2 BHK Independent Builder Floor in Sector-63A Gurgaon,"₹ 1.36 Cr₹ 17,805/sq.ft.",763 sq.ft. (71 sq.m.) Carpet Area,2 BHK2 Baths
4 BHK Residential Apartment in Sector-106 Gurgaon,"₹ 2.68 Cr₹ 16,172/sq.ft.","1,657 sq.ft. (154 sq.m.) Carpet Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-106 Gurgaon,"₹ 1.66 Cr₹ 16,194/sq.ft.","1,025 sq.ft. (95 sq.m.) Carpet Area",3 BHK3 Baths
4 BHK Independent Builder Floor in sushant lok-3,"₹ 1.75 Cr₹ 6,481/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK4 Baths
Residential land / Plot in Sector-60 Gurgaon,"₹ 3 Cr₹ 13,889/sq.ft.","2,160 sq.ft. (201 sq.m.) Plot Area",
4 BHK Residential Apartment in Sector-65 Gurgaon,"₹ 6.77 Cr₹ 10,750/sq.ft.","6,300 sq.ft. (585 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Sector-52 Gurgaon,"₹ 1.7 Cr₹ 6,296/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Sector-52 Gurgaon,"₹ 1.7 Cr₹ 6,296/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK4 Baths
2 BHK Independent Builder Floor in Sainik Colony,"₹ 33 Lac₹ 36,666/sq.ft.",90 sq.ft. (8 sq.m.) Super built-up Area,2 BHK2 Baths
Residential land / Plot in Sector-67 Gurgaon,"₹ 4.51 Cr₹ 9,982/sq.ft.","4,518 sq.ft. (420 sq.m.) Plot Area",
Residential land / Plot in Sector-67 Gurgaon,"₹ 2.7 Cr₹ 10,033/sq.ft.","2,691 sq.ft. (250 sq.m.) Plot Area",
4 BHK Independent Builder Floor in Geetanjali Enclave,"₹ 5.5 Cr₹ 18,080/sq.ft.","3,042 sq.ft. (283 sq.m.) Carpet Area",4 BHK5 Baths
3 BHK Independent Builder Floor in Sector 19 Faridabad,"₹ 1.2 Cr₹ 5,031/sq.ft.","2,385 sq.ft. (222 sq.m.) Super built-up Area",3 BHK3 Baths
Residential land / Plot in Gyan Khand 1,"₹ 6 Cr₹ 13,935/sq.ft.","4,305 sq.ft. (400 sq.m.) Plot Area",
2 BHK Independent Builder Floor in Lajpat Nagar I,"₹ 1.4 Cr₹ 15,555/sq.ft.",900 sq.ft. (84 sq.m.) Super built-up Area,2 BHK2 Baths
1 BHK Independent Builder Floor in Khanpur,"₹ 16 Lac₹ 4,233/sq.ft.",378 sq.ft. (35 sq.m.) Carpet Area,1 BHK1 Bath
2 BHK Residential Apartment in Indirapuram,"₹ 56 Lac₹ 4,000/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",2 BHK2 Baths
1 BHK Independent Builder Floor in Sector-49 Noida,"₹ 17.5 Lac₹ 3,888/sq.ft.",450 sq.ft. (42 sq.m.) Carpet Area,1 BHK2 Baths
4 BHK Residential Apartment in Sector-69 Gurgaon,"₹ 1.29 Cr₹ 5,375/sq.ft.","2,400 sq.ft. (223 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Sector-66 Gurgaon,"₹ 1.9 Cr₹ 9,743/sq.ft.","1,950 sq.ft. (181 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Sector-3 Vaishali,"₹ 65 Lac₹ 5,909/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Independent Builder Floor in Palam Vihar,"₹ 2.5 Cr₹ 5,342/sq.ft.","4,680 sq.ft. (435 sq.m.) Built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in Mayfield Garden,"₹ 1.25 Cr₹ 8,064/sq.ft.","1,550 sq.ft. (144 sq.m.) Carpet Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Paschim Vihar,"₹ 1.75 Cr₹ 14,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-71 Gurgaon,"₹ 95 Lac₹ 5,960/sq.ft.","1,762 sq.ft. (164 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Independent Builder Floor in Chattarpur,"₹ 74.98 Lac₹ 5,810/sq.ft.","1,290 sq.ft. (120 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector-59 Gurgaon,"₹ 2.44 Cr₹ 11,646/sq.ft.","2,095 sq.ft. (195 sq.m.) Super built-up Area",3 BHK4 Baths
3 BHK Residential Apartment in Sector-70 Gurgaon,"₹ 1.26 Cr₹ 6,461/sq.ft.","1,950 sq.ft. (181 sq.m.) Super built-up Area",3 BHK5 Baths
3 BHK Residential Apartment in Sector-90 Gurgaon,"₹ 1.29 Cr₹ 7,350/sq.ft.","1,755 sq.ft. (163 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Sector-70 Gurgaon,"₹ 84.5 Lac₹ 6,500/sq.ft.","1,300 sq.ft. (121 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Independent Builder Floor in Greenfield Colony,"₹ 86 Lac₹ 3,185/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK3 Baths
3 BHK Residential Apartment in Suncity Platinum Towers,"₹ 3.67 Cr₹ 13,700/sq.ft.","2,685 sq.ft. (249 sq.m.) Super built-up Area",3 BHK5 Baths
