location,price,area,bedroom
4 BHK Residential Apartment in Sector-99A Gurgaon,"₹ 1.43 Cr₹ 5,017/sq.ft.","2,850 sq.ft. (265 sq.m.) Super built-up Area",4 BHK5 Baths
4 Bedroom Independent House in Sector ZETA Gr Noida,"₹ 1.51  - 2.07 Cr₹ 6,897/sq.ft.","2,185-3,008 sq.ft. (203-279 sq.m.) Built-up Area",4 BHK6 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 3.85 Cr₹ 8,521/sq.ft.","4,518 sq.ft. (420 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 3.51 Cr₹ 9,701/sq.ft.","3,618 sq.ft. (336 sq.m.) Super built-up Area",4 BHK5 Baths
3 Bedroom Independent House in Sector ZETA Gr Noida,"₹ 1  - 1.53 Cr₹ 6,897/sq.ft.","1,450-2,220 sq.ft. (135-206 sq.m.) Built-up Area",3 BHK
3 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 68.2  - 68.2 Lac₹ 4,059/sq.ft.","1,680 sq.ft. (156 sq.m.) Super built-up Area",3 BHK3 Baths
Residential land / Plot in Sector-99 Gurgaon,"₹ 1.84  - 4.99 Cr₹ 7,925/sq.ft.","2,322-6,300 sq.ft. (216-585 sq.m.) Plot Area",
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 4.5 Cr₹ 9,960/sq.ft.","4,518 sq.ft. (420 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 1,"₹ 3.85 Cr₹ 10,461/sq.ft.","3,680 sq.ft. (342 sq.m.) Super built-up Area",4 BHK5 Baths
4 BHK Residential Apartment in Sector-108 Noida,"₹ 3  - 3.66 Cr₹ 7,500/sq.ft.","3,995-4,874 sq.ft. (371-453 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Sector-108 Noida,"₹ 2.48  - 2.48 Cr₹ 7,500/sq.ft.","3,302-3,312 sq.ft. (307-308 sq.m.) Super built-up Area",3 BHK4 Baths
4 BHK Independent Builder Floor in Sushant Lok Phase - 1,"₹ 2.35 Cr₹ 8,703/sq.ft.","2,700 sq.ft. (251 sq.m.) Built-up Area",4 BHK4 Baths
4 BHK Residential Apartment in Azadpur,"₹ 4.5 Cr₹ 13,043/sq.ft.","3,450 sq.ft. (321 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Residential Apartment in Azadpur,"₹ 2.45 Cr₹ 12,564/sq.ft.","1,950 sq.ft. (181 sq.m.) Super built-up Area",3 BHK3 Baths
2 BHK Residential Apartment in Sector-150 Noida,"₹ 61.6 Lac₹ 5,600/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Sector-150 Noida,"₹ 1.15  - 1.21 Cr₹ 13,545/sq.ft.",849-890 sq.ft. (79-83 sq.m.) Carpet Area,2 BHK
4 BHK Residential Apartment in Sector-128 Noida,"₹ 2.69  - 7.03 Cr₹ 16,729/sq.ft.","1,608-4,200 sq.ft. (149-390 sq.m.) Carpet Area",4 BHK
3 BHK Residential Apartment in Sector-144 Noida,"₹ 69.92  - 76.11 Lac₹ 5,159/sq.ft.","1,355-1,475 sq.ft. (126-137 sq.m.) Super built-up Area",3 BHK2 Baths
3 BHK Residential Apartment in Sector-150 Noida,"₹ 1.79  - 2.43 Cr₹ 13,541/sq.ft.","1,322-1,794 sq.ft. (123-167 sq.m.) Carpet Area",3 BHK
5 BHK Independent Builder Floor in Greater Kailash II,₹ 13.5 Cr,"9,000 sq.ft. (836 sq.m.) Super built-up Area",5 BHK5 Baths
5 BHK Residential Apartment in Sector-108 Noida,"₹ 3.91  - 4.45 Cr₹ 7,500/sq.ft.","5,220-5,930 sq.ft. (485-551 sq.m.) Super built-up Area",5 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 4 Cr₹ 9,523/sq.ft.","4,300 sq.ft. (399 sq.m.) Super built-up Area",4 BHK5 Baths
5 BHK Independent Builder Floor in Greater Kailash I,₹ 13.32 Cr,"7,200 sq.ft. (669 sq.m.) Carpet Area",5 BHK5 Baths
3 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 73.8 Lac₹ 4,100/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
3 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 73.8 Lac₹ 4,100/sq.ft.","1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
6 BHK Residential Apartment in Sector-124 Noida,"₹ 15  - 15.75 Cr₹ 15,000/sq.ft.","10,000-10,500 sq.ft. (929-975 sq.m.) Super built-up Area",6 BHK
3 BHK Residential Apartment in Sector-150 Noida,"₹ 68.36  - 82.81 Lac₹ 4,900/sq.ft.","1,395-1,690 sq.ft. (130-157 sq.m.) Super built-up Area",3 BHK
4 BHK Independent Builder Floor in Greater Kailash II,₹ 4.45  - 6.97 Cr,"2,700-4,500 sq.ft. (251-418 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Independent Builder Floor in Greater Kailash II,₹ 3.74 Cr,"1,872 sq.ft. (174 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Punjabi Bagh,₹ 4.4  - 15 Cr,"2,520-9,900 sq.ft. (234-920 sq.m.) Super built-up Area",4 BHK4 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.5 Cr₹ 9,259/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",4 BHK5 Baths
2 BHK Residential Apartment in Sector-144 Noida,"₹ 52.89  - 59.86 Lac₹ 5,160/sq.ft.","1,025-1,160 sq.ft. (95-108 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Sector-150 Noida,"₹ 73.79 Lac₹ 6,175/sq.ft.","1,195 sq.ft. (111 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Sector-150 Noida,"₹ 52.87  - 53.71 Lac₹ 4,650/sq.ft.","1,137-1,155 sq.ft. (106-107 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Residential Apartment in NH-24 Highway,"₹ 71.6  - 75.53 Lac₹ 3,021/sq.ft.","2,370-2,500 sq.ft. (220-232 sq.m.) Super built-up Area",4 BHK
3 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.5 Cr₹ 13,888/sq.ft.","2,250 sq.ft. (209 sq.m.) Built-up Area",3 BHK4 Baths
3 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2 Cr₹ 13,333/sq.ft.","1,935 sq.ft. (180 sq.m.) Built-up Area",3 BHK4 Baths
4 BHK Residential Apartment in Sector 1 Greater Noida West,"₹ 98.4 Lac₹ 4,100/sq.ft.","2,400 sq.ft. (223 sq.m.) Super built-up Area",4 BHK4 Baths
3 BHK Residential Apartment in Sector-150 Noida,"₹ 1.03  - 1.29 Cr₹ 6,175/sq.ft.","1,675-2,095 sq.ft. (156-195 sq.m.) Super built-up Area",3 BHK
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 2.5 Cr₹ 9,259/sq.ft.","2,700 sq.ft. (251 sq.m.) Carpet Area",4 BHK4 Baths
4 BHK Residential Apartment in Sector-107 Noida,"₹ 2.71  - 3.34 Cr₹ 12,997/sq.ft.","2,085-2,570 sq.ft. (194-239 sq.m.) Carpet Area",4 BHK
2 BHK Residential Apartment in Sector-10 Greater Noida West,"₹ 44.27 Lac₹ 3,800/sq.ft.","1,165 sq.ft. (108 sq.m.) Super built-up Area",2 BHK2 Baths
2 BHK Residential Apartment in Sector-150 Noida,"₹ 57.08  - 61.01 Lac₹ 4,900/sq.ft.","1,165-1,245 sq.ft. (108-116 sq.m.) Super built-up Area",2 BHK2 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 3 Cr₹ 8,292/sq.ft.","3,618 sq.ft. (336 sq.m.) Carpet Area",4 BHK5 Baths
4 BHK Independent Builder Floor in DLF CITY PHASE 2,"₹ 4 Cr₹ 8,853/sq.ft.","4,518 sq.ft. (420 sq.m.) Super built-up Area",4 BHK5 Baths
3 BHK Independent Builder Floor in Punjabi Bagh,₹ 2.75 Cr,"1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths
4 BHK Independent Builder Floor in Greater Kailash I,₹ 4.02  - 6.66 Cr,"2,160-3,600 sq.ft. (201-334 sq.m.) Carpet Area",4 BHK4 Baths
